X,Y,id_0,id,FacilityID,Full_Name,Reg_Rd_No,L_LADD,L_HADD,R_LADD,R_HADD,Left_Mun,Right_Mun,Status,Owner,Managed_By,LifeCycle,vertex_index,vertex_part,vertex_part_index,distance,angle,icon_url,auxiliary_storage_labeling_labelrotation
-79.2746140218476,43.1176297468681,"5684","1285","19238",Pelham Road,"69","0","0","1031","1129",St. Catharines,St. Catharines,Public Maintained Road,RMN,RMN,Active,"10","0","10",171.5446722589,231.570373710278,./0.png,
-79.282287889418,43.1762312343939,"5692","1286","20048",South Service Road,"40","49","59","0","0",St. Catharines,St. Catharines,Public Maintained Road,RMN,RMN,Active,"6","0","6",281.075266268845,255.094061836815,./0.png,
-79.3024210460982,43.1793246658176,"5694","1287","20051",North Service Road,"39","1600","1700","1601","1699",St. Catharines,St. Catharines,Public Maintained Road,RMN,RMN,Active,"1","0","1",284.988131713901,275.615822158913,./0.png,
-79.282287889418,43.1762312343939,"5712","1288","20063",South Service Road,"40","61","99","0","0",St. Catharines,St. Catharines,Public Maintained Road,RMN,RMN,Active,"0","0","0",0,257.333497551125,./0.png,
-79.2815351545794,43.1848230737588,"5733","1289","20075",Martindale Road,"38","0","0","0","0",St. Catharines,St. Catharines,Public Maintained Road,RMN,RMN,Active,"3","0","3",142.028103232913,306.006742621195,./0.png,
-79.2395398655565,43.157314612498,"5823","1302","20586",Geneva Street,"46","0","0","0","0",St. Catharines,St. Catharines,Public Maintained Road,RMN,RMN,Active,"1","0","1",43.7804758418972,342.769805375505,./0.png,
-79.2697712045221,43.200754745119,"5829","1304","20714",Main Street,"87","49","71","50","70",St. Catharines,St. Catharines,Public Maintained Road,RMN,RMN,Active,"0","0","0",0,227.004305879044,./0.png,
-79.2178026325781,43.1316464842582,"5884","1314","20765",Burleigh Hill Drive,"56","14","28","0","0",St. Catharines,St. Catharines,Public Maintained Road,RMN,RMN,Active,"14","0","14",418.016496418507,302.134046993372,./0.png,
-79.2049573484774,43.1403565862572,"6023","1342","20775",Glendale Avenue,"89","197","201","200","202",St. Catharines,St. Catharines,Public Maintained Road,RMN,RMN,Active,"2","0","2",43.0898848392839,86.1016476397484,./0.png,
-79.4791573994191,43.149503223887,"6104","1356","11673",Mountain Street,"18","3900","3904","3901","3909",Lincoln,Lincoln,Public Maintained Road,RMN,RMN,Active,"6","0","6",279.761407176524,18.2802607709952,./0.png,
